,Unnamed: 0,fighter_name,Height,Weight,Reach,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
1323,1323,Danny Henry,"6' 0""",145 lbs.,"73""",Orthodox,"Jul 17, 1988",5.2,51%,4.16,45%,0.74,33%,50%,2.2
1326,1326,Ed Herman,"6' 1""",205 lbs.,"77""",Orthodox,"Oct 02, 1980",3.32,49%,3.35,43%,2.21,48%,60%,1.2
1329,1329,Jack Hermansson,"6' 1""",185 lbs.,"77""",Orthodox,"Jun 10, 1988",5.03,44%,3.46,54%,1.96,34%,75%,0.7
1333,1333,Anthony Hernandez,"6' 0""",185 lbs.,"75""",Orthodox,"Oct 18, 1993",4.92,55%,5.09,47%,3.76,66%,70%,1.9
1338,1338,Geane Herrera,"5' 5""",125 lbs.,"66""",Orthodox,"May 27, 1990",1.51,31%,5.07,52%,0.83,37%,38%,0.6
1340,1340,Felice Herrig,"5' 4""",115 lbs.,"65""",Orthodox,"Sep 18, 1984",3.63,36%,4.84,49%,1.18,30%,72%,0.9
1342,1342,Heath Herring,"6' 4""",250 lbs.,"78""",Orthodox,"Mar 02, 1978",2.37,50%,1.77,54%,1.22,50%,32%,0.7
1346,1346,Marcus Hicks,"5' 6""",155 lbs.,"64""",Southpaw,"Nov 25, 1975",1.42,43%,3.06,61%,2.7,53%,25%,4.0
1347,1347,Jimy Hettes,"5' 9""",145 lbs.,"71""",Southpaw,"Jun 09, 1987",3.47,57%,3.5,57%,5.2,44%,61%,1.4
1349,1349,Jay Hieron,"6' 0""",170 lbs.,"75""",Orthodox,"Jul 29, 1976",1.66,32%,1.89,61%,4.05,60%,66%,1.0
1350,1350,Jason High,"5' 8""",155 lbs.,"73""",Southpaw,"Oct 12, 1981",1.28,42%,1.56,48%,2.36,63%,37%,2.8
1356,1356,Angela Hill,"5' 3""",115 lbs.,"64""",Orthodox,"Jan 12, 1985",5.66,50%,4.98,64%,0.45,36%,76%,0.1
1358,1358,Hatsu Hioki,"5' 11""",145 lbs.,"73""",Orthodox,"Jul 18, 1983",2.42,42%,2.12,65%,2.55,56%,54%,0.6
1360,1360,Kuniyoshi Hironaka,"5' 10""",168 lbs.,"70""",Orthodox,"Jun 17, 1976",1.98,40%,3.01,54%,1.91,30%,25%,0.6
1361,1361,Mizuto Hirota,"5' 7""",155 lbs.,"67""",Orthodox,"May 05, 1981",3.36,40%,3.5,54%,1.36,50%,58%,0.1
1369,1369,Kevin Holland,"6' 3""",185 lbs.,"81""",Orthodox,"Nov 05, 1992",4.14,56%,2.58,56%,1.08,45%,51%,0.7
1370,1370,Andrew Holbrook,"5' 11""",155 lbs.,"70""",Southpaw,"Feb 06, 1986",2.2,49%,3.0,54%,0.85,18%,10%,2.1
1376,1376,Max Holloway,"5' 11""",145 lbs.,"69""",Orthodox,"Dec 04, 1991",7.26,46%,4.58,60%,0.21,71%,84%,0.3
1377,1377,Holly Holm,"5' 8""",135 lbs.,"69""",Southpaw,"Oct 17, 1981",3.16,38%,2.8,57%,0.81,30%,76%,0.1
1379,1379,Kurt Holobaugh,"5' 11""",155 lbs.,"70""",Orthodox,"Sep 08, 1986",4.51,42%,4.28,46%,0.97,36%,45%,0.7
1380,1380,Paddy Holohan,"5' 10""",125 lbs.,"69""",Orthodox,"May 03, 1988",2.13,46%,2.81,46%,2.88,47%,71%,1.3
1383,1383,Scott Holtzman,"5' 9""",155 lbs.,"69""",Orthodox,"Sep 30, 1983",4.44,49%,3.47,54%,2.16,58%,66%,0.2
1386,1386,Mark Hominick,"5' 8""",145 lbs.,"68""",Orthodox,"Jul 22, 1982",4.08,42%,4.18,69%,0.25,66%,71%,0.9
1391,1391,Chase Hooper,"6' 1""",145 lbs.,"74""",Southpaw,"Sep 13, 1999",4.43,45%,3.95,38%,0.32,7%,66%,2.2
1392,1392,Dan Hooker,"6' 0""",155 lbs.,"75""",Switch,"Feb 13, 1990",4.95,48%,4.92,51%,0.72,34%,79%,0.3
1397,1397,Chris Horodecki,"5' 9""",155 lbs.,"69""",Orthodox,"Sep 24, 1987",4.59,41%,3.16,65%,1.52,55%,37%,0.9
1398,1398,Jeremy Horn,"6' 1""",185 lbs.,"74""",Orthodox,"Aug 25, 1975",1.19,39%,1.99,55%,1.83,38%,29%,1.1
1403,1403,Jeff Hougland,"5' 7""",135 lbs.,"68""",Orthodox,"Aug 02, 1978",1.86,48%,3.46,47%,0.86,18%,0%,1.1
1406,1406,Darrell Horcher,"5' 10""",155 lbs.,"70""",Southpaw,"Jul 28, 1987",2.05,44%,4.21,39%,0.35,50%,47%,0.7
1408,1408,John Howard,"5' 7""",170 lbs.,"72""",Orthodox,"Mar 01, 1983",2.15,50%,3.08,51%,2.7,49%,53%,0.4
1414,1414,Collin Huckbody,"6' 3""",185 lbs.,"76""",Orthodox,"Sep 29, 1994",2.05,60%,2.73,42%,10.23,100%,0%,20.4
1418,1418,Matt Hughes,"5' 9""",170 lbs.,"73""",Switch,"Oct 13, 1973",2.14,53%,1.36,53%,2.95,50%,35%,1.2
1419,1419,Roger Huerta,"5' 9""",155 lbs.,"70""",Orthodox,"May 20, 1983",3.64,36%,2.33,56%,2.13,46%,52%,0.5
1426,1426,Mark Hunt,"5' 10""",265 lbs.,"72""",Orthodox,"Mar 23, 1974",2.81,43%,2.9,51%,0.51,55%,64%,0.2
1429,1429,Khadis Ibragimov,"6' 3""",205 lbs.,"78""",Orthodox,"May 21, 1995",3.55,49%,4.26,47%,0.97,30%,80%,0.3
1430,1430,Al Iaquinta,"5' 10""",155 lbs.,"70""",Orthodox,"Apr 30, 1987",4.06,40%,4.44,61%,0.64,18%,74%,0.2
1435,1435,Dan Ige,"5' 7""",145 lbs.,"71""",Orthodox,"Aug 06, 1991",3.95,46%,3.36,58%,1.68,27%,59%,0.5
1442,1442,Nassourdine Imavov,"6' 3""",185 lbs.,"75""",Orthodox,"Mar 01, 1995",4.17,61%,2.03,59%,0.5,12%,60%,2.0
1466,1466,Leandro Issa,"5' 7""",135 lbs.,"69""",Orthodox,"Sep 19, 1983",2.08,37%,3.17,58%,2.38,22%,50%,1.2
1470,1470,Blagoy Ivanov,"5' 11""",250 lbs.,"73""",Southpaw,"Oct 09, 1986",3.32,40%,4.15,54%,1.06,54%,75%,0.2
1473,1473,Yves Jabouin,"5' 7""",135 lbs.,"68""",Orthodox,"May 30, 1979",3.06,41%,2.93,62%,1.94,60%,82%,0.1
1478,1478,Quinton Jackson,"6' 1""",205 lbs.,"73""",Orthodox,"Jun 20, 1978",3.25,54%,2.51,55%,1.52,56%,73%,0.1
1481,1481,Damon Jackson,"5' 11""",145 lbs.,"71""",Switch,"Aug 08, 1988",2.46,35%,3.63,45%,1.14,20%,35%,2.7
1483,1483,Montel Jackson,"5' 10""",135 lbs.,"75""",Southpaw,"Apr 24, 1992",3.77,55%,1.5,56%,4.15,77%,66%,0.2
1488,1488,Virna Jandiroba,"5' 3""",115 lbs.,"64""",Orthodox,"May 30, 1988",2.39,46%,3.08,54%,3.16,53%,73%,2.0
1491,1491,Dave Jansen,"5' 9""",155 lbs.,"73""",Orthodox,"Aug 21, 1979",2.94,33%,3.67,58%,2.79,28%,38%,0.9
1493,1493,Keith Jardine,"6' 2""",185 lbs.,"76""",Orthodox,"Oct 31, 1975",3.25,36%,2.98,59%,1.18,45%,62%,0.7
1498,1498,Rony Jason,"5' 7""",145 lbs.,"73""",Orthodox,"Mar 21, 1984",2.04,44%,3.14,53%,0.59,30%,36%,0.8
1499,1499,Joanna Jedrzejczyk,"5' 6""",115 lbs.,"65""",Orthodox,"Aug 18, 1987",6.3,48%,3.08,64%,0.28,62%,81%,0.1
1505,1505,Ryan Jensen,"6' 1""",185 lbs.,"76""",Orthodox,"Sep 20, 1977",2.84,39%,2.99,59%,1.55,50%,31%,1.9
1513,1513,Sung Bin Jo,"6' 0""",145 lbs.,"72""",Orthodox,"Jul 17, 1992",1.4,33%,2.67,51%,1.0,33%,83%,1.0
1515,1515,Brett Johns,"5' 7""",135 lbs.,"71""",Orthodox,"Feb 21, 1992",2.86,49%,3.84,53%,4.92,49%,58%,1.0
1520,1520,DaMarques Johnson,"6' 1""",170 lbs.,"75""",Orthodox,"Jun 28, 1982",2.11,37%,3.75,51%,1.18,55%,19%,0.7
1522,1522,Lavar Johnson,"6' 4""",240 lbs.,"82""",Orthodox,"Jun 11, 1977",5.39,55%,2.54,55%,0.61,66%,54%,0.6
1524,1524,Kajan Johnson,"5' 11""",155 lbs.,"75""",Orthodox,"Apr 21, 1984",2.47,42%,1.59,64%,1.54,37%,62%,0.2
1526,1526,Demetrious Johnson,"5' 3""",125 lbs.,"66""",Orthodox,"Aug 13, 1986",3.43,54%,1.66,67%,3.35,56%,65%,0.5
1527,1527,Michael Johnson,"5' 10""",155 lbs.,"73""",Southpaw,"Jun 04, 1986",4.21,38%,3.82,58%,0.49,45%,77%,0.1
1530,1530,Jordan Johnson,"6' 2""",205 lbs.,"79""",Orthodox,"Nov 18, 1988",3.45,47%,2.64,53%,3.25,42%,100%,1.2
1532,1532,Anthony Johnson,"6' 2""",205 lbs.,"78""",Orthodox,"Mar 06, 1984",3.25,47%,1.83,60%,2.43,57%,77%,0.6
1537,1537,Liana Jojua,"5' 4""",125 lbs.,"62""",Orthodox,"Mar 22, 1995",2.53,39%,4.86,48%,1.49,66%,50%,2.2
1544,1544,Jon Jones,"6' 4""",205 lbs.,"84""",Orthodox,"Jul 19, 1987",4.3,57%,2.22,64%,1.85,44%,95%,0.4
1558,1558,Shawn Jordan,"6' 0""",260 lbs.,"75""",Southpaw,"Oct 21, 1984",2.87,50%,3.3,47%,1.97,38%,76%,0.1
1559,1559,Ivan Jorge,"5' 9""",155 lbs.,"73""",Orthodox,"Nov 07, 1980",3.41,49%,2.91,59%,1.56,16%,75%,0.6
1561,1561,Scott Jorgensen,"5' 5""",135 lbs.,"66""",Orthodox,"Sep 17, 1982",3.37,40%,3.41,65%,2.61,45%,59%,0.7
1564,1564,Krzysztof Jotko,"6' 1""",185 lbs.,"77""",Southpaw,"Aug 19, 1989",2.98,45%,1.9,58%,1.27,35%,87%,0.1
1565,1565,Alan Jouban,"6' 0""",170 lbs.,"73""",Southpaw,"Nov 25, 1981",5.67,50%,3.77,60%,0.51,44%,58%,0.3
1575,1575,Chan Sung Jung,"5' 7""",145 lbs.,"72""",Orthodox,"Mar 17, 1987",4.15,41%,4.01,56%,0.62,41%,75%,0.5
1578,1578,Myles Jury,"5' 10""",145 lbs.,"73""",Orthodox,"Oct 31, 1988",2.94,42%,2.16,66%,2.16,55%,50%,0.3
1579,1579,Cristiane Justino,"5' 8""",145 lbs.,"68""",Orthodox,"Jul 09, 1985",7.28,52%,2.25,64%,0.66,55%,94%,0.4
1586,1586,Kai Kamaka,"5' 7""",145 lbs.,"69""",Orthodox,"Jan 05, 1995",6.58,60%,6.74,49%,3.68,75%,37%,0.6
1587,1587,Martin Kampmann,"6' 0""",170 lbs.,"72""",Orthodox,"Apr 17, 1982",3.22,42%,3.28,62%,1.86,41%,78%,2.0
1588,1588,Masanori Kanehara,"5' 7""",135 lbs.,"67""",Orthodox,"Nov 19, 1982",1.88,49%,1.63,62%,1.44,50%,63%,0.9
1591,1591,Kyung Ho Kang,"5' 9""",135 lbs.,"73""",Orthodox,"Sep 09, 1987",2.52,44%,2.43,58%,2.53,59%,71%,1.1
1593,1593,Denis Kang,"5' 11""",185 lbs.,"77""",Orthodox,"Sep 17, 1977",2.27,35%,1.65,67%,2.51,65%,38%,1.2
1601,1601,Alex Karalexis,"5' 8""",155 lbs.,"66""",Orthodox,"Sep 20, 1977",2.57,42%,2.39,54%,2.7,45%,86%,0.9
1602,1602,Nadia Kassem,"5' 5""",125 lbs.,"66""",Southpaw,"Nov 15, 1995",3.13,41%,4.48,48%,0.46,33%,40%,2.8
1610,1610,Tatsuya Kawajiri,"5' 7""",145 lbs.,"69""",Orthodox,"May 08, 1978",2.04,44%,2.01,50%,3.63,48%,63%,1.1
1615,1615,Brian Kelleher,"5' 6""",145 lbs.,"66""",Switch,"Aug 19, 1986",3.92,39%,5.47,53%,1.0,25%,59%,0.7
1617,1617,Chris Kelades,"5' 7""",125 lbs.,"68""",Orthodox,"Feb 21, 1981",2.4,43%,2.64,48%,1.04,18%,53%,0.3
1622,1622,Daniel Kelly,"6' 0""",185 lbs.,"70""",Southpaw,"Oct 31, 1977",3.62,38%,4.64,61%,1.86,34%,78%,0.3
1623,1623,Paul Kelly,"5' 9""",155 lbs.,"70""",Orthodox,"Sep 12, 1984",3.22,37%,2.61,59%,1.34,60%,30%,1.5
1625,1625,Tim Kennedy,"5' 11""",185 lbs.,"74""",Orthodox,"Sep 01, 1979",2.78,47%,1.84,62%,2.58,35%,70%,0.7
1628,1628,Casey Kenney,"5' 7""",140 lbs.,"68""",Southpaw,"Mar 20, 1991",4.81,42%,4.3,59%,1.1,39%,59%,0.5
1631,1631,Rustam Khabilov,"5' 8""",155 lbs.,"73""",Orthodox,"Nov 04, 1986",1.98,34%,2.16,65%,3.95,41%,61%,0.1
1638,1638,Aliaskhab Khizriev,"5' 9""",185 lbs.,"74""",Southpaw,"Aug 24, 1990",6.0,83%,3.6,66%,18.0,50%,0%,18.0
1639,1639,Katsunori Kikuno,"5' 8""",145 lbs.,"66""",Orthodox,"Oct 31, 1981",2.64,40%,2.47,61%,1.88,75%,76%,0.8
1640,1640,Jacob Kilburn,"5' 9""",145 lbs.,"72""",Orthodox,"Jun 28, 1995",2.56,33%,6.78,35%,0.51,5%,20%,0.5
1641,1641,Pannie Kianzad,"5' 7""",135 lbs.,"66""",Orthodox,"Dec 08, 1991",5.14,49%,3.62,57%,0.22,14%,83%,0.2
1647,1647,Dong Hyun Kim,"6' 2""",170 lbs.,"76""",Southpaw,"Nov 17, 1981",2.12,49%,1.89,58%,2.93,43%,71%,0.6
1651,1651,Dustin Kimura,"5' 7""",135 lbs.,"71""",Orthodox,"May 21, 1989",1.33,21%,3.82,51%,0.93,37%,50%,2.2
1654,1654,Rob Kimmons,"5' 10""",185 lbs.,"73""",Orthodox,"Jan 30, 1981",1.86,48%,4.79,38%,2.08,46%,25%,2.4
1658,1658,Justine Kish,"5' 5""",125 lbs.,"64""",Orthodox,"Apr 13, 1988",4.65,48%,4.62,59%,1.01,35%,55%,0.2
1669,1669,William Knight,"5' 10""",205 lbs.,"73""",Orthodox,"Apr 03, 1988",4.69,76%,2.88,33%,3.76,66%,63%,0.5
1670,1670,Jason Knight,"5' 10""",145 lbs.,"71""",Orthodox,"Jul 14, 1992",2.95,33%,3.02,51%,1.31,31%,47%,1.7
1673,1673,Erik Koch,"5' 10""",170 lbs.,"71""",Southpaw,"Oct 04, 1988",2.33,42%,2.82,47%,1.02,42%,81%,1.0
1681,1681,Cheick Kongo,"6' 4""",240 lbs.,"82""",Orthodox,"May 17, 1975",3.33,56%,1.28,54%,2.3,56%,52%,0.2
1687,1687,Naoyuki Kotani,"5' 8""",155 lbs.,"66""",Southpaw,"Dec 08, 1981",1.02,31%,2.89,50%,0.83,16%,46%,0.8
1689,1689,Josh Koscheck,"5' 10""",170 lbs.,"73""",Orthodox,"Nov 30, 1977",1.79,36%,2.27,63%,2.46,48%,64%,0.4
1690,1690,Karolina Kowalkiewicz,"5' 3""",115 lbs.,"64""",Orthodox,"Oct 15, 1985",5.27,39%,5.65,56%,0.1,12%,75%,0.1
1692,1692,Derrick Krantz,"5' 10""",170 lbs.,"72""",Orthodox,"Jan 13, 1988",2.07,37%,4.03,50%,3.18,50%,0%,0.8
1694,1694,James Krause,"6' 2""",170 lbs.,"73""",Orthodox,"Jun 04, 1986",4.79,49%,4.11,61%,0.96,18%,59%,0.9
1697,1697,Nikita Krylov,"6' 3""",205 lbs.,"77""",Orthodox,"Mar 07, 1992",4.33,56%,2.52,43%,1.34,33%,55%,1.3
1698,1698,Mariusz Ksiazkiewicz,"6' 3""",185 lbs.,"75""",Southpaw,"Oct 04, 1989",0.93,45%,3.4,39%,4.0,100%,0%,2.0
1700,1700,Anton Kuivanen,"5' 8""",155 lbs.,"72""",Orthodox,"May 01, 1984",2.27,38%,1.63,67%,1.2,100%,71%,0.4
1706,1706,Kiichi Kunimoto,"5' 10""",170 lbs.,"71""",Orthodox,"May 01, 1981",1.87,44%,3.92,41%,1.59,20%,28%,0.3
1708,1708,Yana Kunitskaya,"5' 6""",135 lbs.,"68""",Orthodox,"Nov 11, 1989",4.22,57%,2.62,51%,1.62,53%,50%,0.2
1718,1718,Mike Kyle,"6' 4""",205 lbs.,"77""",Orthodox,"Mar 31, 1980",3.93,51%,3.35,49%,1.33,62%,50%,0.8
1723,1723,Ryan LaFlare,"6' 1""",170 lbs.,"74""",Southpaw,"Oct 01, 1983",2.89,40%,1.86,63%,2.13,44%,58%,0.2
1724,1724,Aspen Ladd,"5' 6""",135 lbs.,"66""",Orthodox,"Mar 01, 1995",5.22,55%,4.84,46%,2.45,75%,66%,1.2
1725,1725,Noad Lahat,"5' 9""",145 lbs.,"69""",Orthodox,"Jun 08, 1984",2.79,46%,1.47,63%,2.37,26%,16%,2.4
1731,1731,Jason Lambert,"6' 3""",185 lbs.,"75""",Orthodox,"Jun 03, 1975",3.21,58%,1.84,50%,1.35,36%,28%,2.4
1734,1734,Ricardo Lamas,"5' 8""",145 lbs.,"71""",Orthodox,"May 21, 1982",3.13,47%,2.87,57%,1.84,33%,46%,0.9
1741,1741,Taylor Lapilus,"5' 6""",135 lbs.,"73""",Southpaw,"Apr 08, 1992",3.77,45%,2.0,61%,0.58,40%,81%,0.6
1744,1744,Lina Lansberg,"5' 7""",135 lbs.,"65""",Orthodox,"Mar 13, 1982",2.76,57%,3.7,44%,0.71,33%,50%,0.1
1749,1749,Brock Larson,"5' 11""",170 lbs.,"71""",Southpaw,"Aug 23, 1977",1.39,46%,1.5,55%,2.67,34%,43%,2.0
1750,1750,Ilir Latifi,"5' 10""",205 lbs.,"73""",Orthodox,"Jul 28, 1983",2.01,40%,2.84,56%,2.02,32%,100%,0.4
1751,1751,Jenel Lausa,"5' 5""",125 lbs.,"68""",Orthodox,"Aug 01, 1988",1.44,42%,3.53,53%,0.55,66%,51%,0.8
1752,1752,Joe Lauzon,"5' 10""",155 lbs.,"71""",Orthodox,"May 22, 1984",2.84,39%,5.39,54%,2.39,45%,54%,2.0
1756,1756,Tom Lawlor,"6' 0""",205 lbs.,"74""",Southpaw,"May 15, 1983",2.5,42%,2.41,60%,2.46,32%,57%,1.4
1760,1760,Lorenz Larkin,"5' 11""",170 lbs.,"72""",Orthodox,"Sep 03, 1986",3.53,46%,2.74,63%,0.27,42%,79%,0.1
1761,1761,Ronnie Lawrence,"5' 8""",135 lbs.,"68""",Switch,"Jun 13, 1992",3.8,58%,1.09,61%,10.86,76%,100%,0.5
1765,1765,Cung Le,"5' 9""",185 lbs.,"70""",Southpaw,"May 25, 1972",4.36,48%,2.98,66%,1.37,71%,88%,0.3
1767,1767,Jordan Leavitt,"5' 9""",155 lbs.,"71""",Southpaw,"Jun 02, 1995",1.08,55%,0.43,75%,6.5,66%,0%,3.2
1771,1771,Chris Leben,"5' 11""",185 lbs.,"73""",Southpaw,"Jul 21, 1980",2.87,42%,2.87,52%,1.14,41%,53%,0.8
1773,1773,Justin Ledet,"6' 4""",205 lbs.,"80""",Orthodox,"Sep 28, 1988",3.35,39%,4.82,49%,0.23,50%,42%,0.2
1781,1781,Vaughan Lee,"5' 6""",125 lbs.,"66""",Orthodox,"Oct 15, 1982",3.47,47%,2.07,70%,0.81,33%,72%,1.0
1783,1783,Andrea Lee,"5' 6""",125 lbs.,"69""",Orthodox,"Feb 11, 1989",5.58,49%,3.83,65%,1.67,45%,57%,0.5
1784,1784,Kevin Lee,"5' 9""",170 lbs.,"77""",Orthodox,"Sep 04, 1992",3.9,42%,3.23,51%,3.21,43%,75%,0.8
1789,1789,Thales Leites,"6' 1""",185 lbs.,"78""",Orthodox,"Sep 06, 1981",2.13,40%,2.99,52%,2.1,27%,30%,1.1
1794,1794,Amanda Lemos,"5' 4""",115 lbs.,"65""",Southpaw,"May 22, 1987",6.21,64%,5.39,45%,1.98,100%,100%,0.5
1795,1795,Jesse Lennox,"5' 9""",170 lbs.,"72""",Orthodox,"Mar 10, 1982",2.69,32%,3.2,64%,1.22,66%,63%,0.3
1797,1797,Nik Lentz,"5' 8""",145 lbs.,"68""",Orthodox,"Aug 13, 1984",3.44,47%,3.25,50%,3.3,32%,43%,1.2
1805,1805,Brock Lesnar,"6' 3""",265 lbs.,"81""",Orthodox,"Jul 12, 1977",3.53,72%,2.11,50%,3.9,55%,60%,0.5
1807,1807,Valerie Letourneau,"5' 7""",115 lbs.,"68""",Orthodox,"Apr 29, 1983",4.51,37%,5.4,58%,0.77,45%,66%,0.3
1809,1809,Marcus LeVesseur,"5' 9""",155 lbs.,"70""",Southpaw,"Jul 17, 1982",2.55,64%,3.7,37%,3.89,36%,83%,0.6
1812,1812,Natan Levy,"5' 9""",155 lbs.,"71""",Southpaw,"Sep 30, 1991",1.65,60%,0.82,57%,2.75,100%,100%,2.8
1824,1824,Hyun Gyu Lim,"6' 3""",170 lbs.,"77""",Orthodox,"Jan 16, 1985",4.45,41%,5.07,51%,0.23,100%,73%,0.2
1827,1827,Dhiego Lima,"6' 2""",170 lbs.,"75""",Orthodox,"Jan 31, 1989",3.14,38%,3.93,59%,1.38,42%,73%,0.7
1829,1829,Jess Liaudin,"5' 9""",170 lbs.,"72""",Orthodox,,2.46,51%,2.76,41%,3.28,53%,30%,1.6
1832,1832,Matt Lindland,"6' 0""",185 lbs.,"74""",Southpaw,"May 17, 1970",2.62,50%,1.56,52%,3.01,48%,60%,1.3
1833,1833,John Lineker,"5' 3""",135 lbs.,"67""",Orthodox,"Jun 12, 1990",5.36,40%,4.27,56%,0.56,58%,67%,0.6
1837,1837,Ariane Lipski,"5' 6""",125 lbs.,"67""",Orthodox,"Jan 26, 1994",3.03,32%,4.45,48%,0.27,25%,45%,0.5
1841,1841,Dean Lister,"6' 1""",185 lbs.,"75""",Orthodox,"Feb 13, 1976",1.26,35%,1.89,61%,1.58,15%,50%,1.1
1844,1844,Dylan Lockard,"5' 9""",145 lbs.,"72""",Orthodox,"May 19, 1992",1.31,53%,3.31,52%,2.31,40%,28%,1.2
1847,1847,David Loiseau,"6' 0""",185 lbs.,"76""",Orthodox,"Dec 17, 1979",1.59,44%,3.64,43%,0.43,42%,36%,0.1
1849,1849,Hector Lombard,"5' 9""",185 lbs.,"71""",Southpaw,"Feb 02, 1978",3.02,46%,3.35,53%,1.69,48%,77%,0.5
1861,1861,Gustavo Lopez,"5' 5""",135 lbs.,"67""",Orthodox,"Jun 27, 1989",2.24,41%,4.65,51%,1.07,50%,27%,0.5
1862,1862,Matthew Lopez,"5' 7""",135 lbs.,"69""",Southpaw,"Jan 21, 1987",3.13,50%,3.73,55%,3.32,60%,71%,1.3
1875,1875,Duane Ludwig,"5' 10""",170 lbs.,"70""",Orthodox,"Aug 04, 1978",4.62,44%,3.05,57%,0.43,25%,59%,0.1
1880,1880,Travis Lutter,"5' 11""",185 lbs.,"75""",Orthodox,"May 12, 1973",0.41,32%,2.42,42%,1.95,24%,30%,0.7
1881,1881,Tucker Lutz,"5' 8""",155 lbs.,"72""",Orthodox,"Jul 12, 1994",4.33,49%,2.8,47%,2.0,57%,81%,0.5
1882,1882,Vicente Luque,"5' 11""",170 lbs.,"75""",Orthodox,"Nov 27, 1991",5.72,53%,5.82,52%,0.68,50%,64%,0.8
1886,1886,Chris Lytle,"5' 11""",170 lbs.,"68""",Orthodox,"Aug 18, 1974",3.76,45%,3.03,58%,0.7,55%,55%,2.4
1889,1889,Jason MacDonald,"6' 3""",185 lbs.,"80""",Orthodox,"Jun 03, 1975",1.55,52%,2.7,46%,1.43,16%,35%,2.0
1890,1890,Rob MacDonald,"6' 3""",205 lbs.,"78""",Orthodox,"Sep 05, 1978",1.8,50%,2.04,46%,7.19,80%,80%,5.4
1891,1891,Rory MacDonald,"6' 0""",170 lbs.,"76""",Orthodox,"Jul 22, 1989",3.75,42%,2.8,62%,1.77,47%,88%,0.4
1893,1893,Veronica Macedo,"5' 4""",125 lbs.,"64""",Southpaw,"Oct 30, 1995",3.13,39%,5.06,43%,0.57,18%,46%,0.6
1897,1897,Lyoto Machida,"6' 1""",185 lbs.,"74""",Southpaw,"May 30, 1978",2.59,53%,1.57,61%,1.21,65%,75%,0.4
1900,1900,Don Madge,"6' 0""",155 lbs.,"72""",Southpaw,"Nov 12, 1990",2.08,52%,0.74,67%,2.22,25%,80%,0.7
1904,1904,Yoshiro Maeda,"5' 7""",139 lbs.,"68""",Southpaw,"Oct 31, 1981",2.36,33%,2.55,63%,2.93,51%,50%,0.7
1906,1906,Vinny Magalhaes,"6' 3""",205 lbs.,"75""",Orthodox,"Jul 02, 1984",2.14,24%,3.97,68%,1.55,44%,66%,0.8
1909,1909,Caio Magalhaes,"6' 1""",185 lbs.,"73""",Orthodox,"Dec 14, 1987",2.27,40%,2.78,56%,1.05,15%,58%,1.6
1911,1911,Reza Madadi,"5' 11""",155 lbs.,"73""",Orthodox,"Jun 20, 1978",2.51,46%,3.31,66%,3.17,33%,89%,0.5
1912,1912,Angela Magana,"5' 1""",115 lbs.,"65""",Orthodox,"Aug 02, 1983",1.53,28%,4.92,42%,0.4,25%,28%,0.4
1913,1913,Neil Magny,"6' 3""",170 lbs.,"80""",Orthodox,"Aug 03, 1987",3.67,47%,2.05,56%,2.46,45%,57%,0.3
1914,1914,Rashid Magomedov,"5' 9""",155 lbs.,"70""",Orthodox,"Nov 29, 1984",4.4,49%,3.05,54%,0.67,57%,89%,0.2
1917,1917,John Maguire,"5' 9""",155 lbs.,"69""",Southpaw,"May 19, 1983",1.41,41%,2.44,65%,2.8,46%,77%,1.1
1918,1918,Zabit Magomedsharipov,"6' 1""",145 lbs.,"73""",Orthodox,"Mar 01, 1991",4.89,48%,3.0,64%,5.22,56%,77%,0.8
1920,1920,Leonardo Mafra,"5' 10""",155 lbs.,"70""",Orthodox,"Apr 25, 1989",4.55,48%,4.38,43%,2.12,83%,69%,0.4
1924,1924,Jennifer Maia,"5' 4""",125 lbs.,"64""",Orthodox,"Oct 06, 1988",3.34,39%,3.52,52%,0.34,50%,56%,0.2
1927,1927,Demian Maia,"6' 1""",170 lbs.,"72""",Southpaw,"Nov 06, 1977",1.82,43%,2.03,63%,2.55,26%,61%,1.0
1929,1929,Islam Makhachev,"5' 10""",155 lbs.,"70""",Southpaw,"Oct 27, 1991",2.0,56%,0.77,70%,3.46,68%,93%,1.0
1931,1931,Zach Makovsky,"5' 4""",125 lbs.,"64""",Southpaw,"Apr 19, 1983",1.94,43%,2.24,62%,3.71,30%,56%,0.3
1933,1933,Fabio Maldonado,"6' 1""",205 lbs.,"75""",Orthodox,"Mar 17, 1980",5.29,58%,4.31,53%,0.44,57%,61%,0.6
1938,1938,Nate Maness,"5' 10""",135 lbs.,"72""",Orthodox,"Jun 27, 1991",2.4,45%,4.63,45%,1.33,66%,88%,0.7
1948,1948,Cristiano Marcello,"5' 9""",155 lbs.,"72""",Orthodox,"Dec 03, 1977",2.56,33%,3.61,58%,0.44,11%,20%,0.9
1949,1949,Jimi Manuwa,"6' 1""",205 lbs.,"79""",Orthodox,"Feb 18, 1980",3.43,54%,3.97,49%,0.53,18%,70%,0.4
1953,1953,Ronny Markes,"6' 1""",185 lbs.,"75""",Orthodox,"Apr 21, 1988",2.17,53%,2.43,45%,3.13,40%,100%,0.5
1956,1956,Randa Markos,"5' 4""",115 lbs.,"63""",Orthodox,"Aug 10, 1985",2.85,41%,3.2,59%,1.23,28%,57%,0.2
