,fighter_name,Height,Weight,Reach,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Stance_Open Stance,Stance_Orthodox,Stance_Southpaw,Stance_Switch
370,Felice Herrig,5' 4,115.,5' 4,"Sep 18, 1984",3.63,0.36,4.84,0.49,1.18,0.3,0.72,0.9,0,1,0,0
371,Heath Herring,6' 4,250.,6' 4,"Mar 02, 1978",2.37,0.5,1.77,0.54,1.22,0.5,0.32,0.7,0,1,0,0
372,Marcus Hicks,5' 6,155.,5' 6,"Nov 25, 1975",1.42,0.43,3.06,0.61,2.7,0.53,0.25,4.0,0,0,1,0
373,Jimy Hettes,5' 9,145.,5' 9,"Jun 09, 1987",3.47,0.57,3.5,0.57,5.2,0.44,0.61,1.4,0,0,1,0
374,Jay Hieron,6' 0,170.,6' 0,"Jul 29, 1976",1.66,0.32,1.89,0.61,4.05,0.6,0.66,1.0,0,1,0,0
375,Jason High,5' 8,155.,5' 8,"Oct 12, 1981",1.28,0.42,1.56,0.48,2.36,0.63,0.37,2.8,0,0,1,0
376,Angela Hill,5' 3,115.,5' 3,"Jan 12, 1985",5.66,0.5,4.98,0.64,0.45,0.36,0.76,0.1,0,1,0,0
377,Hatsu Hioki,5' 11,145.,5' 11,"Jul 18, 1983",2.42,0.42,2.12,0.65,2.55,0.56,0.54,0.6,0,1,0,0
378,Kuniyoshi Hironaka,5' 10,168.,5' 10,"Jun 17, 1976",1.98,0.4,3.01,0.54,1.91,0.3,0.25,0.6,0,1,0,0
379,Mizuto Hirota,5' 7,155.,5' 7,"May 05, 1981",3.36,0.4,3.5,0.54,1.36,0.5,0.58,0.1,0,1,0,0
380,Kevin Holland,6' 3,185.,6' 3,"Nov 05, 1992",4.14,0.56,2.58,0.56,1.08,0.45,0.51,0.7,0,1,0,0
381,Andrew Holbrook,5' 11,155.,5' 11,"Feb 06, 1986",2.2,0.49,3.0,0.54,0.85,0.18,0.1,2.1,0,0,1,0
382,Max Holloway,5' 11,145.,5' 11,"Dec 04, 1991",7.26,0.46,4.58,0.6,0.21,0.71,0.84,0.3,0,1,0,0
383,Holly Holm,5' 8,135.,5' 8,"Oct 17, 1981",3.16,0.38,2.8,0.57,0.81,0.3,0.76,0.1,0,0,1,0
384,Kurt Holobaugh,5' 11,155.,5' 11,"Sep 08, 1986",4.51,0.42,4.28,0.46,0.97,0.36,0.45,0.7,0,1,0,0
385,Paddy Holohan,5' 10,125.,5' 10,"May 03, 1988",2.13,0.46,2.81,0.46,2.88,0.47,0.71,1.3,0,1,0,0
386,Scott Holtzman,5' 9,155.,5' 9,"Sep 30, 1983",4.44,0.49,3.47,0.54,2.16,0.58,0.66,0.2,0,1,0,0
387,Mark Hominick,5' 8,145.,5' 8,"Jul 22, 1982",4.08,0.42,4.18,0.69,0.25,0.66,0.71,0.9,0,1,0,0
388,Chase Hooper,6' 1,145.,6' 1,"Sep 13, 1999",4.43,0.45,3.95,0.38,0.32,0.07,0.66,2.2,0,0,1,0
389,Dan Hooker,6' 0,155.,6' 0,"Feb 13, 1990",4.95,0.48,4.92,0.51,0.72,0.34,0.79,0.3,0,0,0,1
390,Chris Horodecki,5' 9,155.,5' 9,"Sep 24, 1987",4.59,0.41,3.16,0.65,1.52,0.55,0.37,0.9,0,1,0,0
391,Jeremy Horn,6' 1,185.,6' 1,"Aug 25, 1975",1.19,0.39,1.99,0.55,1.83,0.38,0.29,1.1,0,1,0,0
392,Jeff Hougland,5' 7,135.,5' 7,"Aug 02, 1978",1.86,0.48,3.46,0.47,0.86,0.18,0.0,1.1,0,1,0,0
393,Darrell Horcher,5' 10,155.,5' 10,"Jul 28, 1987",2.05,0.44,4.21,0.39,0.35,0.5,0.47,0.7,0,0,1,0
394,John Howard,5' 7,170.,5' 7,"Mar 01, 1983",2.15,0.5,3.08,0.51,2.7,0.49,0.53,0.4,0,1,0,0
395,Collin Huckbody,6' 3,185.,6' 3,"Sep 29, 1994",2.05,0.6,2.73,0.42,10.23,1.0,0.0,20.4,0,1,0,0
396,Matt Hughes,5' 9,170.,5' 9,"Oct 13, 1973",2.14,0.53,1.36,0.53,2.95,0.5,0.35,1.2,0,0,0,1
397,Roger Huerta,5' 9,155.,5' 9,"May 20, 1983",3.64,0.36,2.33,0.56,2.13,0.46,0.52,0.5,0,1,0,0
398,Mark Hunt,5' 10,265.,5' 10,"Mar 23, 1974",2.81,0.43,2.9,0.51,0.51,0.55,0.64,0.2,0,1,0,0
399,Khadis Ibragimov,6' 3,205.,6' 3,"May 21, 1995",3.55,0.49,4.26,0.47,0.97,0.3,0.8,0.3,0,1,0,0
400,Al Iaquinta,5' 10,155.,5' 10,"Apr 30, 1987",4.06,0.4,4.44,0.61,0.64,0.18,0.74,0.2,0,1,0,0
401,Dan Ige,5' 7,145.,5' 7,"Aug 06, 1991",3.95,0.46,3.36,0.58,1.68,0.27,0.59,0.5,0,1,0,0
402,Nassourdine Imavov,6' 3,185.,6' 3,"Mar 01, 1995",4.17,0.61,2.03,0.59,0.5,0.12,0.6,2.0,0,1,0,0
403,Leandro Issa,5' 7,135.,5' 7,"Sep 19, 1983",2.08,0.37,3.17,0.58,2.38,0.22,0.5,1.2,0,1,0,0
404,Blagoy Ivanov,5' 11,250.,5' 11,"Oct 09, 1986",3.32,0.4,4.15,0.54,1.06,0.54,0.75,0.2,0,0,1,0
405,Yves Jabouin,5' 7,135.,5' 7,"May 30, 1979",3.06,0.41,2.93,0.62,1.94,0.6,0.82,0.1,0,1,0,0
406,Quinton Jackson,6' 1,205.,6' 1,"Jun 20, 1978",3.25,0.54,2.51,0.55,1.52,0.56,0.73,0.1,0,1,0,0
407,Damon Jackson,5' 11,145.,5' 11,"Aug 08, 1988",2.46,0.35,3.63,0.45,1.14,0.2,0.35,2.7,0,0,0,1
408,Montel Jackson,5' 10,135.,5' 10,"Apr 24, 1992",3.77,0.55,1.5,0.56,4.15,0.77,0.66,0.2,0,0,1,0
409,Virna Jandiroba,5' 3,115.,5' 3,"May 30, 1988",2.39,0.46,3.08,0.54,3.16,0.53,0.73,2.0,0,1,0,0
410,Dave Jansen,5' 9,155.,5' 9,"Aug 21, 1979",2.94,0.33,3.67,0.58,2.79,0.28,0.38,0.9,0,1,0,0
411,Keith Jardine,6' 2,185.,6' 2,"Oct 31, 1975",3.25,0.36,2.98,0.59,1.18,0.45,0.62,0.7,0,1,0,0
412,Rony Jason,5' 7,145.,5' 7,"Mar 21, 1984",2.04,0.44,3.14,0.53,0.59,0.3,0.36,0.8,0,1,0,0
413,Joanna Jedrzejczyk,5' 6,115.,5' 6,"Aug 18, 1987",6.3,0.48,3.08,0.64,0.28,0.62,0.81,0.1,0,1,0,0
414,Ryan Jensen,6' 1,185.,6' 1,"Sep 20, 1977",2.84,0.39,2.99,0.59,1.55,0.5,0.31,1.9,0,1,0,0
415,Sung Bin Jo,6' 0,145.,6' 0,"Jul 17, 1992",1.4,0.33,2.67,0.51,1.0,0.33,0.83,1.0,0,1,0,0
416,Brett Johns,5' 7,135.,5' 7,"Feb 21, 1992",2.86,0.49,3.84,0.53,4.92,0.49,0.58,1.0,0,1,0,0
417,DaMarques Johnson,6' 1,170.,6' 1,"Jun 28, 1982",2.11,0.37,3.75,0.51,1.18,0.55,0.19,0.7,0,1,0,0
418,Lavar Johnson,6' 4,240.,6' 4,"Jun 11, 1977",5.39,0.55,2.54,0.55,0.61,0.66,0.54,0.6,0,1,0,0
419,Kajan Johnson,5' 11,155.,5' 11,"Apr 21, 1984",2.47,0.42,1.59,0.64,1.54,0.37,0.62,0.2,0,1,0,0
420,Demetrious Johnson,5' 3,125.,5' 3,"Aug 13, 1986",3.43,0.54,1.66,0.67,3.35,0.56,0.65,0.5,0,1,0,0
421,Michael Johnson,5' 10,155.,5' 10,"Jun 04, 1986",4.21,0.38,3.82,0.58,0.49,0.45,0.77,0.1,0,0,1,0
422,Jordan Johnson,6' 2,205.,6' 2,"Nov 18, 1988",3.45,0.47,2.64,0.53,3.25,0.42,1.0,1.2,0,1,0,0
423,Anthony Johnson,6' 2,205.,6' 2,"Mar 06, 1984",3.25,0.47,1.83,0.6,2.43,0.57,0.77,0.6,0,1,0,0
424,Liana Jojua,5' 4,125.,5' 4,"Mar 22, 1995",2.53,0.39,4.86,0.48,1.49,0.66,0.5,2.2,0,1,0,0
425,Jon Jones,6' 4,205.,6' 4,"Jul 19, 1987",4.3,0.57,2.22,0.64,1.85,0.44,0.95,0.4,0,1,0,0
426,Shawn Jordan,6' 0,260.,6' 0,"Oct 21, 1984",2.87,0.5,3.3,0.47,1.97,0.38,0.76,0.1,0,0,1,0
427,Ivan Jorge,5' 9,155.,5' 9,"Nov 07, 1980",3.41,0.49,2.91,0.59,1.56,0.16,0.75,0.6,0,1,0,0
428,Scott Jorgensen,5' 5,135.,5' 5,"Sep 17, 1982",3.37,0.4,3.41,0.65,2.61,0.45,0.59,0.7,0,1,0,0
429,Krzysztof Jotko,6' 1,185.,6' 1,"Aug 19, 1989",2.98,0.45,1.9,0.58,1.27,0.35,0.87,0.1,0,0,1,0
430,Alan Jouban,6' 0,170.,6' 0,"Nov 25, 1981",5.67,0.5,3.77,0.6,0.51,0.44,0.58,0.3,0,0,1,0
431,Chan Sung Jung,5' 7,145.,5' 7,"Mar 17, 1987",4.15,0.41,4.01,0.56,0.62,0.41,0.75,0.5,0,1,0,0
432,Myles Jury,5' 10,145.,5' 10,"Oct 31, 1988",2.94,0.42,2.16,0.66,2.16,0.55,0.5,0.3,0,1,0,0
433,Cristiane Justino,5' 8,145.,5' 8,"Jul 09, 1985",7.28,0.52,2.25,0.64,0.66,0.55,0.94,0.4,0,1,0,0
434,Kai Kamaka,5' 7,145.,5' 7,"Jan 05, 1995",6.58,0.6,6.74,0.49,3.68,0.75,0.37,0.6,0,1,0,0
435,Martin Kampmann,6' 0,170.,6' 0,"Apr 17, 1982",3.22,0.42,3.28,0.62,1.86,0.41,0.78,2.0,0,1,0,0
436,Masanori Kanehara,5' 7,135.,5' 7,"Nov 19, 1982",1.88,0.49,1.63,0.62,1.44,0.5,0.63,0.9,0,1,0,0
437,Kyung Ho Kang,5' 9,135.,5' 9,"Sep 09, 1987",2.52,0.44,2.43,0.58,2.53,0.59,0.71,1.1,0,1,0,0
438,Denis Kang,5' 11,185.,5' 11,"Sep 17, 1977",2.27,0.35,1.65,0.67,2.51,0.65,0.38,1.2,0,1,0,0
439,Alex Karalexis,5' 8,155.,5' 8,"Sep 20, 1977",2.57,0.42,2.39,0.54,2.7,0.45,0.86,0.9,0,1,0,0
440,Nadia Kassem,5' 5,125.,5' 5,"Nov 15, 1995",3.13,0.41,4.48,0.48,0.46,0.33,0.4,2.8,0,0,1,0
441,Tatsuya Kawajiri,5' 7,145.,5' 7,"May 08, 1978",2.04,0.44,2.01,0.5,3.63,0.48,0.63,1.1,0,1,0,0
442,Brian Kelleher,5' 6,145.,5' 6,"Aug 19, 1986",3.92,0.39,5.47,0.53,1.0,0.25,0.59,0.7,0,0,0,1
443,Chris Kelades,5' 7,125.,5' 7,"Feb 21, 1981",2.4,0.43,2.64,0.48,1.04,0.18,0.53,0.3,0,1,0,0
444,Daniel Kelly,6' 0,185.,6' 0,"Oct 31, 1977",3.62,0.38,4.64,0.61,1.86,0.34,0.78,0.3,0,0,1,0
445,Paul Kelly,5' 9,155.,5' 9,"Sep 12, 1984",3.22,0.37,2.61,0.59,1.34,0.6,0.3,1.5,0,1,0,0
446,Tim Kennedy,5' 11,185.,5' 11,"Sep 01, 1979",2.78,0.47,1.84,0.62,2.58,0.35,0.7,0.7,0,1,0,0
447,Casey Kenney,5' 7,140.,5' 7,"Mar 20, 1991",4.81,0.42,4.3,0.59,1.1,0.39,0.59,0.5,0,0,1,0
448,Rustam Khabilov,5' 8,155.,5' 8,"Nov 04, 1986",1.98,0.34,2.16,0.65,3.95,0.41,0.61,0.1,0,1,0,0
449,Aliaskhab Khizriev,5' 9,185.,5' 9,"Aug 24, 1990",6.0,0.83,3.6,0.66,18.0,0.5,0.0,18.0,0,0,1,0
450,Katsunori Kikuno,5' 8,145.,5' 8,"Oct 31, 1981",2.64,0.4,2.47,0.61,1.88,0.75,0.76,0.8,0,1,0,0
451,Jacob Kilburn,5' 9,145.,5' 9,"Jun 28, 1995",2.56,0.33,6.78,0.35,0.51,0.05,0.2,0.5,0,1,0,0
452,Pannie Kianzad,5' 7,135.,5' 7,"Dec 08, 1991",5.14,0.49,3.62,0.57,0.22,0.14,0.83,0.2,0,1,0,0
453,Dong Hyun Kim,6' 2,170.,6' 2,"Nov 17, 1981",2.12,0.49,1.89,0.58,2.93,0.43,0.71,0.6,0,0,1,0
454,Dustin Kimura,5' 7,135.,5' 7,"May 21, 1989",1.33,0.21,3.82,0.51,0.93,0.37,0.5,2.2,0,1,0,0
455,Rob Kimmons,5' 10,185.,5' 10,"Jan 30, 1981",1.86,0.48,4.79,0.38,2.08,0.46,0.25,2.4,0,1,0,0
456,Justine Kish,5' 5,125.,5' 5,"Apr 13, 1988",4.65,0.48,4.62,0.59,1.01,0.35,0.55,0.2,0,1,0,0
457,William Knight,5' 10,205.,5' 10,"Apr 03, 1988",4.69,0.76,2.88,0.33,3.76,0.66,0.63,0.5,0,1,0,0
458,Jason Knight,5' 10,145.,5' 10,"Jul 14, 1992",2.95,0.33,3.02,0.51,1.31,0.31,0.47,1.7,0,1,0,0
459,Erik Koch,5' 10,170.,5' 10,"Oct 04, 1988",2.33,0.42,2.82,0.47,1.02,0.42,0.81,1.0,0,0,1,0
460,Cheick Kongo,6' 4,240.,6' 4,"May 17, 1975",3.33,0.56,1.28,0.54,2.3,0.56,0.52,0.2,0,1,0,0
461,Naoyuki Kotani,5' 8,155.,5' 8,"Dec 08, 1981",1.02,0.31,2.89,0.5,0.83,0.16,0.46,0.8,0,0,1,0
462,Josh Koscheck,5' 10,170.,5' 10,"Nov 30, 1977",1.79,0.36,2.27,0.63,2.46,0.48,0.64,0.4,0,1,0,0
463,Karolina Kowalkiewicz,5' 3,115.,5' 3,"Oct 15, 1985",5.27,0.39,5.65,0.56,0.1,0.12,0.75,0.1,0,1,0,0
464,Derrick Krantz,5' 10,170.,5' 10,"Jan 13, 1988",2.07,0.37,4.03,0.5,3.18,0.5,0.0,0.8,0,1,0,0
465,James Krause,6' 2,170.,6' 2,"Jun 04, 1986",4.79,0.49,4.11,0.61,0.96,0.18,0.59,0.9,0,1,0,0
466,Nikita Krylov,6' 3,205.,6' 3,"Mar 07, 1992",4.33,0.56,2.52,0.43,1.34,0.33,0.55,1.3,0,1,0,0
467,Mariusz Ksiazkiewicz,6' 3,185.,6' 3,"Oct 04, 1989",0.93,0.45,3.4,0.39,4.0,1.0,0.0,2.0,0,0,1,0
468,Anton Kuivanen,5' 8,155.,5' 8,"May 01, 1984",2.27,0.38,1.63,0.67,1.2,1.0,0.71,0.4,0,1,0,0
469,Kiichi Kunimoto,5' 10,170.,5' 10,"May 01, 1981",1.87,0.44,3.92,0.41,1.59,0.2,0.28,0.3,0,1,0,0
470,Yana Kunitskaya,5' 6,135.,5' 6,"Nov 11, 1989",4.22,0.57,2.62,0.51,1.62,0.53,0.5,0.2,0,1,0,0
471,Mike Kyle,6' 4,205.,6' 4,"Mar 31, 1980",3.93,0.51,3.35,0.49,1.33,0.62,0.5,0.8,0,1,0,0
472,Ryan LaFlare,6' 1,170.,6' 1,"Oct 01, 1983",2.89,0.4,1.86,0.63,2.13,0.44,0.58,0.2,0,0,1,0
473,Aspen Ladd,5' 6,135.,5' 6,"Mar 01, 1995",5.22,0.55,4.84,0.46,2.45,0.75,0.66,1.2,0,1,0,0
474,Noad Lahat,5' 9,145.,5' 9,"Jun 08, 1984",2.79,0.46,1.47,0.63,2.37,0.26,0.16,2.4,0,1,0,0
475,Jason Lambert,6' 3,185.,6' 3,"Jun 03, 1975",3.21,0.58,1.84,0.5,1.35,0.36,0.28,2.4,0,1,0,0
476,Ricardo Lamas,5' 8,145.,5' 8,"May 21, 1982",3.13,0.47,2.87,0.57,1.84,0.33,0.46,0.9,0,1,0,0
477,Taylor Lapilus,5' 6,135.,5' 6,"Apr 08, 1992",3.77,0.45,2.0,0.61,0.58,0.4,0.81,0.6,0,0,1,0
478,Lina Lansberg,5' 7,135.,5' 7,"Mar 13, 1982",2.76,0.57,3.7,0.44,0.71,0.33,0.5,0.1,0,1,0,0
479,Brock Larson,5' 11,170.,5' 11,"Aug 23, 1977",1.39,0.46,1.5,0.55,2.67,0.34,0.43,2.0,0,0,1,0
480,Ilir Latifi,5' 10,205.,5' 10,"Jul 28, 1983",2.01,0.4,2.84,0.56,2.02,0.32,1.0,0.4,0,1,0,0
481,Jenel Lausa,5' 5,125.,5' 5,"Aug 01, 1988",1.44,0.42,3.53,0.53,0.55,0.66,0.51,0.8,0,1,0,0
482,Joe Lauzon,5' 10,155.,5' 10,"May 22, 1984",2.84,0.39,5.39,0.54,2.39,0.45,0.54,2.0,0,1,0,0
483,Tom Lawlor,6' 0,205.,6' 0,"May 15, 1983",2.5,0.42,2.41,0.6,2.46,0.32,0.57,1.4,0,0,1,0
484,Lorenz Larkin,5' 11,170.,5' 11,"Sep 03, 1986",3.53,0.46,2.74,0.63,0.27,0.42,0.79,0.1,0,1,0,0
485,Ronnie Lawrence,5' 8,135.,5' 8,"Jun 13, 1992",3.8,0.58,1.09,0.61,10.86,0.76,1.0,0.5,0,0,0,1
486,Cung Le,5' 9,185.,5' 9,"May 25, 1972",4.36,0.48,2.98,0.66,1.37,0.71,0.88,0.3,0,0,1,0
487,Jordan Leavitt,5' 9,155.,5' 9,"Jun 02, 1995",1.08,0.55,0.43,0.75,6.5,0.66,0.0,3.2,0,0,1,0
488,Chris Leben,5' 11,185.,5' 11,"Jul 21, 1980",2.87,0.42,2.87,0.52,1.14,0.41,0.53,0.8,0,0,1,0
489,Justin Ledet,6' 4,205.,6' 4,"Sep 28, 1988",3.35,0.39,4.82,0.49,0.23,0.5,0.42,0.2,0,1,0,0
490,Vaughan Lee,5' 6,125.,5' 6,"Oct 15, 1982",3.47,0.47,2.07,0.7,0.81,0.33,0.72,1.0,0,1,0,0
491,Andrea Lee,5' 6,125.,5' 6,"Feb 11, 1989",5.58,0.49,3.83,0.65,1.67,0.45,0.57,0.5,0,1,0,0
492,Kevin Lee,5' 9,170.,5' 9,"Sep 04, 1992",3.9,0.42,3.23,0.51,3.21,0.43,0.75,0.8,0,1,0,0
493,Thales Leites,6' 1,185.,6' 1,"Sep 06, 1981",2.13,0.4,2.99,0.52,2.1,0.27,0.3,1.1,0,1,0,0
494,Amanda Lemos,5' 4,115.,5' 4,"May 22, 1987",6.21,0.64,5.39,0.45,1.98,1.0,1.0,0.5,0,0,1,0
495,Jesse Lennox,5' 9,170.,5' 9,"Mar 10, 1982",2.69,0.32,3.2,0.64,1.22,0.66,0.63,0.3,0,1,0,0
496,Nik Lentz,5' 8,145.,5' 8,"Aug 13, 1984",3.44,0.47,3.25,0.5,3.3,0.32,0.43,1.2,0,1,0,0
497,Brock Lesnar,6' 3,265.,6' 3,"Jul 12, 1977",3.53,0.72,2.11,0.5,3.9,0.55,0.6,0.5,0,1,0,0
498,Valerie Letourneau,5' 7,115.,5' 7,"Apr 29, 1983",4.51,0.37,5.4,0.58,0.77,0.45,0.66,0.3,0,1,0,0
499,Marcus LeVesseur,5' 9,155.,5' 9,"Jul 17, 1982",2.55,0.64,3.7,0.37,3.89,0.36,0.83,0.6,0,0,1,0
500,Natan Levy,5' 9,155.,5' 9,"Sep 30, 1991",1.65,0.6,0.82,0.57,2.75,1.0,1.0,2.8,0,0,1,0
501,Hyun Gyu Lim,6' 3,170.,6' 3,"Jan 16, 1985",4.45,0.41,5.07,0.51,0.23,1.0,0.73,0.2,0,1,0,0
502,Dhiego Lima,6' 2,170.,6' 2,"Jan 31, 1989",3.14,0.38,3.93,0.59,1.38,0.42,0.73,0.7,0,1,0,0
503,Jess Liaudin,5' 9,170.,5' 9,,2.46,0.51,2.76,0.41,3.28,0.53,0.3,1.6,0,1,0,0
504,Matt Lindland,6' 0,185.,6' 0,"May 17, 1970",2.62,0.5,1.56,0.52,3.01,0.48,0.6,1.3,0,0,1,0
505,John Lineker,5' 3,135.,5' 3,"Jun 12, 1990",5.36,0.4,4.27,0.56,0.56,0.58,0.67,0.6,0,1,0,0
506,Ariane Lipski,5' 6,125.,5' 6,"Jan 26, 1994",3.03,0.32,4.45,0.48,0.27,0.25,0.45,0.5,0,1,0,0
507,Dean Lister,6' 1,185.,6' 1,"Feb 13, 1976",1.26,0.35,1.89,0.61,1.58,0.15,0.5,1.1,0,1,0,0
508,Dylan Lockard,5' 9,145.,5' 9,"May 19, 1992",1.31,0.53,3.31,0.52,2.31,0.4,0.28,1.2,0,1,0,0
509,David Loiseau,6' 0,185.,6' 0,"Dec 17, 1979",1.59,0.44,3.64,0.43,0.43,0.42,0.36,0.1,0,1,0,0
510,Hector Lombard,5' 9,185.,5' 9,"Feb 02, 1978",3.02,0.46,3.35,0.53,1.69,0.48,0.77,0.5,0,0,1,0
511,Gustavo Lopez,5' 5,135.,5' 5,"Jun 27, 1989",2.24,0.41,4.65,0.51,1.07,0.5,0.27,0.5,0,1,0,0
512,Matthew Lopez,5' 7,135.,5' 7,"Jan 21, 1987",3.13,0.5,3.73,0.55,3.32,0.6,0.71,1.3,0,0,1,0
513,Duane Ludwig,5' 10,170.,5' 10,"Aug 04, 1978",4.62,0.44,3.05,0.57,0.43,0.25,0.59,0.1,0,1,0,0
514,Travis Lutter,5' 11,185.,5' 11,"May 12, 1973",0.41,0.32,2.42,0.42,1.95,0.24,0.3,0.7,0,1,0,0
515,Tucker Lutz,5' 8,155.,5' 8,"Jul 12, 1994",4.33,0.49,2.8,0.47,2.0,0.57,0.81,0.5,0,1,0,0
516,Vicente Luque,5' 11,170.,5' 11,"Nov 27, 1991",5.72,0.53,5.82,0.52,0.68,0.5,0.64,0.8,0,1,0,0
517,Chris Lytle,5' 11,170.,5' 11,"Aug 18, 1974",3.76,0.45,3.03,0.58,0.7,0.55,0.55,2.4,0,1,0,0
518,Jason MacDonald,6' 3,185.,6' 3,"Jun 03, 1975",1.55,0.52,2.7,0.46,1.43,0.16,0.35,2.0,0,1,0,0
519,Rob MacDonald,6' 3,205.,6' 3,"Sep 05, 1978",1.8,0.5,2.04,0.46,7.19,0.8,0.8,5.4,0,1,0,0
520,Rory MacDonald,6' 0,170.,6' 0,"Jul 22, 1989",3.75,0.42,2.8,0.62,1.77,0.47,0.88,0.4,0,1,0,0
521,Veronica Macedo,5' 4,125.,5' 4,"Oct 30, 1995",3.13,0.39,5.06,0.43,0.57,0.18,0.46,0.6,0,0,1,0
522,Lyoto Machida,6' 1,185.,6' 1,"May 30, 1978",2.59,0.53,1.57,0.61,1.21,0.65,0.75,0.4,0,0,1,0
523,Don Madge,6' 0,155.,6' 0,"Nov 12, 1990",2.08,0.52,0.74,0.67,2.22,0.25,0.8,0.7,0,0,1,0
524,Yoshiro Maeda,5' 7,139.,5' 7,"Oct 31, 1981",2.36,0.33,2.55,0.63,2.93,0.51,0.5,0.7,0,0,1,0
525,Vinny Magalhaes,6' 3,205.,6' 3,"Jul 02, 1984",2.14,0.24,3.97,0.68,1.55,0.44,0.66,0.8,0,1,0,0
526,Caio Magalhaes,6' 1,185.,6' 1,"Dec 14, 1987",2.27,0.4,2.78,0.56,1.05,0.15,0.58,1.6,0,1,0,0
527,Reza Madadi,5' 11,155.,5' 11,"Jun 20, 1978",2.51,0.46,3.31,0.66,3.17,0.33,0.89,0.5,0,1,0,0
528,Angela Magana,5' 1,115.,5' 1,"Aug 02, 1983",1.53,0.28,4.92,0.42,0.4,0.25,0.28,0.4,0,1,0,0
529,Neil Magny,6' 3,170.,6' 3,"Aug 03, 1987",3.67,0.47,2.05,0.56,2.46,0.45,0.57,0.3,0,1,0,0
530,Rashid Magomedov,5' 9,155.,5' 9,"Nov 29, 1984",4.4,0.49,3.05,0.54,0.67,0.57,0.89,0.2,0,1,0,0
531,John Maguire,5' 9,155.,5' 9,"May 19, 1983",1.41,0.41,2.44,0.65,2.8,0.46,0.77,1.1,0,0,1,0
532,Zabit Magomedsharipov,6' 1,145.,6' 1,"Mar 01, 1991",4.89,0.48,3.0,0.64,5.22,0.56,0.77,0.8,0,1,0,0
533,Leonardo Mafra,5' 10,155.,5' 10,"Apr 25, 1989",4.55,0.48,4.38,0.43,2.12,0.83,0.69,0.4,0,1,0,0
534,Jennifer Maia,5' 4,125.,5' 4,"Oct 06, 1988",3.34,0.39,3.52,0.52,0.34,0.5,0.56,0.2,0,1,0,0
535,Demian Maia,6' 1,170.,6' 1,"Nov 06, 1977",1.82,0.43,2.03,0.63,2.55,0.26,0.61,1.0,0,0,1,0
536,Islam Makhachev,5' 10,155.,5' 10,"Oct 27, 1991",2.0,0.56,0.77,0.7,3.46,0.68,0.93,1.0,0,0,1,0
537,Zach Makovsky,5' 4,125.,5' 4,"Apr 19, 1983",1.94,0.43,2.24,0.62,3.71,0.3,0.56,0.3,0,0,1,0
538,Fabio Maldonado,6' 1,205.,6' 1,"Mar 17, 1980",5.29,0.58,4.31,0.53,0.44,0.57,0.61,0.6,0,1,0,0
539,Nate Maness,5' 10,135.,5' 10,"Jun 27, 1991",2.4,0.45,4.63,0.45,1.33,0.66,0.88,0.7,0,1,0,0
540,Cristiano Marcello,5' 9,155.,5' 9,"Dec 03, 1977",2.56,0.33,3.61,0.58,0.44,0.11,0.2,0.9,0,1,0,0
541,Jimi Manuwa,6' 1,205.,6' 1,"Feb 18, 1980",3.43,0.54,3.97,0.49,0.53,0.18,0.7,0.4,0,1,0,0
542,Ronny Markes,6' 1,185.,6' 1,"Apr 21, 1988",2.17,0.53,2.43,0.45,3.13,0.4,1.0,0.5,0,1,0,0
543,Randa Markos,5' 4,115.,5' 4,"Aug 10, 1985",2.85,0.41,3.2,0.59,1.23,0.28,0.57,0.2,0,1,0,0
544,Nate Marquardt,6' 0,185.,6' 0,"Apr 20, 1979",2.71,0.49,2.32,0.55,1.87,0.51,0.7,0.8,0,1,0,0
545,Danilo Marques,6' 6,205.,6' 6,"Dec 26, 1985",1.81,0.88,1.41,0.5,4.83,0.34,0.0,1.2,0,1,0,0
546,Carmelo Marrero,6' 0,205.,6' 0,"Jan 26, 1981",0.84,0.34,2.04,0.54,3.21,0.36,0.36,0.9,0,1,0,0
547,Eliot Marshall,6' 2,205.,6' 2,"Jul 07, 1980",1.93,0.27,2.39,0.67,0.47,0.33,0.79,0.9,0,1,0,0
548,Mallory Martin,5' 4,115.,5' 4,"Jan 29, 1994",3.99,0.59,5.53,0.58,3.37,0.63,0.25,0.5,0,1,0,0
549,Anthony Rocco Martin,6' 0,170.,6' 0,"Dec 11, 1989",2.68,0.37,2.59,0.58,0.71,0.27,0.68,1.0,0,1,0,0
550,Adriano Martins,5' 10,155.,5' 10,"Dec 16, 1982",1.8,0.38,2.14,0.65,0.83,0.8,0.81,0.4,0,0,1,0
551,Jameel Massouh,5' 10,145.,5' 10,"Sep 12, 1984",1.91,0.54,2.62,0.55,0.67,0.15,0.5,0.7,0,1,0,0
552,Mike Massenzio,6' 2,185.,6' 2,"Nov 01, 1982",2.08,0.45,3.59,0.54,2.74,0.24,0.5,1.4,0,0,1,0
553,Jorge Masvidal,5' 11,170.,5' 11,"Nov 12, 1984",4.2,0.47,3.0,0.65,1.57,0.59,0.77,0.4,0,1,0,0
554,Jake Matthews,5' 11,170.,5' 11,"Aug 19, 1994",3.03,0.44,2.16,0.61,1.93,0.41,0.66,0.6,0,1,0,0
555,Vladimir Matyushenko,6' 0,205.,6' 0,"Jan 04, 1971",1.9,0.44,1.62,0.59,3.25,0.46,0.7,0.1,0,1,0,0
